time_ms,event,duration(ms),copyKind,data_B,streamId
16752,60,0,-1,0,103
16753,59,0,-1,0,103
16755,116,0,-1,0,102
16756,60,0,-1,0,103
16757,59,0,-1,0,103
16759,116,0,-1,0,102
16760,60,0,-1,0,103
16761,59,0,-1,0,103
16763,116,0,-1,0,102
16764,60,0,-1,0,103
16765,59,0,-1,0,103
16767,116,0,-1,0,102
16768,60,0,-1,0,103
16770,59,0,-1,0,103
16771,116,0,-1,0,102
16772,60,0,-1,0,103
16757,46,6,-1,0,147
16765,44,2,-1,0,86
16783,50,1,-1,0,86
16773,38,20,-1,0,70
16784,94,0,-1,0,148
16786,60,0,-1,0,147
16788,59,0,-1,0,147
16789,94,0,-1,0,148
16791,60,0,-1,0,147
16786,60,0,-1,0,157
16787,59,0,-1,0,157
16789,94,0,-1,0,156
16791,60,0,-1,0,157
16792,59,0,-1,0,157
16792,29,0,-1,0,78
16803,111,7,-1,0,78
16826,51,3,-1,0,82
16811,92,0,-1,0,74
16812,58,0,-1,0,78
16814,59,0,-1,0,148
16816,94,0,-1,0,147
16817,60,0,-1,0,148
16819,59,0,-1,0,148
16821,82,0,-1,0,78
16814,59,0,-1,0,157
16817,94,0,-1,0,156
16819,60,0,-1,0,157
16820,59,0,-1,0,157
16822,94,0,-1,0,156
16838,90,5,-1,0,86
16833,59,0,-1,0,165
16835,94,0,-1,0,166
16837,60,0,-1,0,165
16839,59,0,-1,0,165
16840,94,0,-1,0,166
16837,92,0,-1,0,98
16855,111,39,-1,0,74
16862,59,0,-1,0,165
16864,94,0,-1,0,166
16866,60,0,-1,0,165
16868,59,0,-1,0,165
16869,94,0,-1,0,166
16871,88,2,-1,0,82
16885,23,4,-1,0,70
16901,27,0,-1,0,70
16882,116,0,-1,0,111
16884,60,0,-1,0,112
16885,59,0,-1,0,112
16886,116,0,-1,0,111
16888,60,0,-1,0,112
16889,59,0,-1,0,112
16891,116,0,-1,0,111
16892,60,0,-1,0,112
16893,59,0,-1,0,112
16895,116,0,-1,0,111
16896,60,0,-1,0,112
16897,59,0,-1,0,112
16899,116,0,-1,0,111
16900,60,0,-1,0,112
16901,59,0,-1,0,112
16903,116,0,-1,0,111
16904,60,0,-1,0,112
16905,59,0,-1,0,112
16906,116,0,-1,0,111
16926,14,0,-1,0,74
16901,114,37,-1,0,86
16929,103,0,-1,0,70
16936,82,0,-1,0,70
16945,18,0,-1,0,90
16946,99,0,-1,0,82
16967,101,5,-1,0,78
16972,112,27,-1,0,98
16973,60,0,-1,0,120
16975,59,0,-1,0,120
16976,116,0,-1,0,121
16978,60,0,-1,0,120
16979,59,0,-1,0,120
16980,116,0,-1,0,121
16982,60,0,-1,0,120
16983,59,0,-1,0,120
16984,116,0,-1,0,121
16986,60,0,-1,0,120
16987,59,0,-1,0,120
16988,116,0,-1,0,121
16990,60,0,-1,0,120
16991,59,0,-1,0,120
16992,116,0,-1,0,121
16994,60,0,-1,0,120
16995,59,0,-1,0,120
16996,116,0,-1,0,121
16997,60,0,-1,0,120
16999,58,0,-1,0,98
17000,59,0,-1,0,130
17002,116,0,-1,0,129
17003,60,0,-1,0,130
17004,59,0,-1,0,130
17006,116,0,-1,0,129
17007,60,0,-1,0,130
17008,59,0,-1,0,130
17010,116,0,-1,0,129
17011,60,0,-1,0,130
17013,59,0,-1,0,130
17014,116,0,-1,0,129
17016,60,0,-1,0,130
17017,59,0,-1,0,130
17018,116,0,-1,0,129
17020,60,0,-1,0,130
17021,59,0,-1,0,130
17022,116,0,-1,0,129
17023,60,0,-1,0,130
17024,59,0,-1,0,130
17024,25,1,-1,0,111
17018,101,5,-1,0,82
17019,92,0,-1,0,78
17055,14,0,-1,0,86
17041,99,0,-1,0,94
17079,82,0,-1,0,90
17055,116,0,-1,0,138
17056,60,0,-1,0,139
17058,59,0,-1,0,139
17059,116,0,-1,0,138
17060,60,0,-1,0,139
17062,59,0,-1,0,139
17063,116,0,-1,0,138
17065,60,0,-1,0,139
17066,59,0,-1,0,139
17067,116,0,-1,0,138
17069,60,0,-1,0,139
17070,59,0,-1,0,139
17071,116,0,-1,0,138
17073,60,0,-1,0,139
17074,59,0,-1,0,139
17076,116,0,-1,0,138
17077,60,0,-1,0,139
17078,59,0,-1,0,139
17079,116,0,-1,0,138
17080,60,0,-1,0,139
17069,92,0,-1,0,82
17097,83,5,-1,0,98
17107,32,0,-1,0,74
17127,47,4,-1,0,120
17123,22,13,-1,0,98
17152,47,0,-1,0,98
17134,98,0,-1,0,90
17153,92,0,-1,0,98
17167,119,12,-1,0,98
17170,99,0,-1,0,74
17200,47,4,-1,0,138
17186,14,0,-1,0,98
17182,59,0,-1,0,147
17183,116,0,-1,0,148
17185,60,0,-1,0,147
17186,59,0,-1,0,147
17187,116,0,-1,0,148
17189,60,0,-1,0,147
17190,59,0,-1,0,147
17191,116,0,-1,0,148
17193,60,0,-1,0,147
17194,59,0,-1,0,147
17195,116,0,-1,0,148
17197,60,0,-1,0,147
17198,59,0,-1,0,147
17199,116,0,-1,0,148
17201,60,0,-1,0,147
17202,59,0,-1,0,147
17203,116,0,-1,0,148
17205,60,0,-1,0,147
17206,59,0,-1,0,147
17185,59,0,-1,0,157
17187,116,0,-1,0,156
17188,60,0,-1,0,157
17189,59,0,-1,0,157
17191,116,0,-1,0,156
17192,60,0,-1,0,157
17193,59,0,-1,0,157
17195,116,0,-1,0,156
17196,60,0,-1,0,157
17198,59,0,-1,0,157
17199,116,0,-1,0,156
17201,60,0,-1,0,157
17202,59,0,-1,0,157
17203,116,0,-1,0,156
